,sequence,file_id,gsr_SCL_auc,gsr_SCL_linregress_rvalue,gsr_SCL_linregress_slope,gsr_SCL_median,gsr_SCL_ptp,gsr_SCL_std,gsr_SCR_peaks_detected_rate,gsr_SCR_peaks_increase-amplitude_median,gsr_SCR_peaks_increase-duration_median
0,physio-sonification_playground_0,c4bc0119-1a92-47ed-b8b8-3c2189834e75,-146.5431735952826,-0.9679966623342071,-1549.590377574245,-1.2061493371312892,-0.15693635174815698,0.01867699183135612,-0.07493250142542489,0.0,0.0
1,common_respiration-calibration_data-accumulation_0,c4bc0119-1a92-47ed-b8b8-3c2189834e75,15.709697303017279,0.9784691733695751,208.95032906323303,0.41808914688888077,0.0493048821846129,0.09516126831345538,0.012128438578176637,0.19980160302619646,3.4392981570000005
2,cardiac-coherence_survey_0,c4bc0119-1a92-47ed-b8b8-3c2189834e75,-2.233287200473388,0.9646707358942439,361.67208590640246,-0.20966292507259246,-0.11687661482836628,0.03916363906518962,-0.04274638574294811,0.06488080790749792,2.44129625
3,cardiac-coherence_survey_1,c4bc0119-1a92-47ed-b8b8-3c2189834e75,3.6625029876525463,0.5628684798298581,277.43952888410024,0.12323154504876604,0.13866946555743895,0.10520032835068692,-0.01843151407956993,0.24413902268739873,2.26552292
4,intro_sequence_0,c4bc0119-1a92-47ed-b8b8-3c2189834e75,28.795595408886015,0.9330577537586806,272.0991817971644,0.35111316106828316,0.1918150726663144,0.15001518842185532,-0.006585747502531589,0.13003874612739078,4.2693388820000004
5,intro_disclaimer_0,c4bc0119-1a92-47ed-b8b8-3c2189834e75,12.419193175244516,0.6555506830603217,389.77838970290236,0.3430279706630993,-0.1802069392255445,0.012134584671395906,-0.012303312263043709,0.13003874612739078,4.6443219860000005
6,space-stress_breath-tutorial_0,c4bc0119-1a92-47ed-b8b8-3c2189834e75,56.47442046039168,0.49775729758103665,158.25581784637333,1.5087044214046401,0.6399566221328103,0.29297951114010634,-0.046907542804199225,0.777411095435168,2.367080844
7,space-stress_survey_0,c4bc0119-1a92-47ed-b8b8-3c2189834e75,79.44881965976725,-0.9460027751529436,91.66489182560777,1.2311282322566932,0.6678877593366993,0.32977338322688016,-0.007457832893729102,0.08570097019925915,2.595586173
8,space-stress_survey_1,c4bc0119-1a92-47ed-b8b8-3c2189834e75,48.960219586007526,-0.9968714769272706,57.60545378894669,0.8724207229287476,0.44858997106967335,0.19239819443137465,-0.07493250142542489,0.0,0.0
9,baseline_eyes-closed_0,c4bc0119-1a92-47ed-b8b8-3c2189834e75,-3.4555472892661925,-0.9982782957346329,-68.40875206769374,-0.03516846816777683,0.0748152854686179,0.08545560891610716,-0.07493250142542489,0.0,0.0
